Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
28,Josh Allen,QB,1,Buffalo Bills,0,0,0,475.5,10.5,3750.5,27.5,20,350.57,1
29,Lamar Jackson,QB,2,Baltimore Ravens,0,0,0,750.5,3.5,3450.5,28.5,20,328.07,1
32,Jayden Daniels,QB,3,Washington Commanders,0,0,0,725.5,5.5,3400.5,23.5,20,315.57,1
40,Drake Maye,QB,4,New England Patriots,0,0,0,475.5,4,3275.5,19.5,20,260.57,2
49,Jalen Hurts,QB,5,Philadelphia Eagles,0,0,0,600.5,12.5,3175.5,19.5,20,320.07,2
62,Joe Burrow,QB,6,Cincinnati Bengals,0,0,0,149.5,2.5,4150.5,33.5,20,309.97,2
81,Patrick Mahomes,QB,7,Kansas City Chiefs,0,0,0,274.5,1.5,4000.5,27.5,20,286.47,2
83,Caleb Williams,QB,8,Chicago Bears,0,0,0,425.5,2,3600.5,22.5,20,268.57,2
87,Jaxson Dart,QB,9,New York Giants,,,,,,,,,,3
94,Brock Purdy,QB,10,San Francisco 49ers,0,0,0,175.5,2.5,3800.5,24,20,260.57,3
96,Dak Prescott,QB,11,Dallas Cowboys,0,0,0,125.5,1.5,3825.5,26.5,20,260.57,3
98,Justin Herbert,QB,12,Los Angeles Chargers,0,0,0,250.5,2.5,3650.5,22.5,20,256.07,3
108,Baker Mayfield,QB,13,Tampa Bay Buccaneers,0,0,0,225.5,1.5,3800.5,28.5,20,277.57,4
114,Matthew Stafford,QB,14,Los Angeles Rams,,,,,,,,,,4
117,Trevor Lawrence,QB,15,Jacksonville Jaguars,0,0,0,175.5,3.5,3650.5,22.5,20,254.57,4
121,Bo Nix,QB,16,Denver Broncos,0,0,0,425.5,4,3475.5,24.5,20,283.57,4
122,Jordan Love,QB,17,Green Bay Packers,0,0,0,125.5,1.5,3550.5,25.5,20,245.57,4
125,Jared Goff,QB,18,Detroit Lions,0,0,0,49.5,0.5,3850.5,28.5,20,255.97,5
127,Kyler Murray,QB,19,Minnesota Vikings,0,0,0,475.5,4.5,3375.5,20.5,20,271.57,5
141,Tyler Shough,QB,20,New Orleans Saints,,,,,,,,,,5
143,Cam Ward,QB,21,Tennessee Titans,,,,,,,,,,5
147,Malik Willis,QB,22,Miami Dolphins,,,,,,,,,,5
149,C.J. Stroud,QB,23,Houston Texans,,,,,,,,,,5
1,Bijan Robinson,RB,1,Atlanta Falcons,52.5,425.5,2.5,1175.5,10.5,0,0,6,258.35,1
2,Jahmyr Gibbs,RB,2,Detroit Lions,47.5,475.5,2.5,1050.5,10.5,0,0,6,248.35,1
9,Jonathan Taylor,RB,3,Indianapolis Colts,20.5,175.5,0.5,1225.5,9.5,0,0,6,204.35,1
10,Christian McCaffrey,RB,4,San Francisco 49ers,55.5,499.5,3.5,950.5,7.5,0,0,6,232.75,1
11,James Cook,RB,5,Buffalo Bills,25.5,200.5,1.5,950.5,8.5,0,0,6,181.85,1
12,De'Von Achane,RB,6,Miami Dolphins,65,475,4.5,925.5,7.5,0,0,6,238.55,1
15,Saquon Barkley,RB,7,Philadelphia Eagles,27.5,275.5,1.5,1450.5,11.5,0,0,6,258.35,2
20,Derrick Henry,RB,8,Baltimore Ravens,20,175,0.5,1350.5,13.5,0,0,6,240.55,2
22,Ashton Jeanty,RB,9,Las Vegas Raiders,35.5,225.5,1.5,1050.5,7.5,0,0,6,193.35,2
