Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
1,Jamarr Chase,WR,1,Cincinnati Bengals,105.5,1300.5,10.5,0,0,0,0,4,241.8,1
2,Bijan Robinson,RB,1,Atlanta Falcons,52.5,425.5,2.5,1175.5,10.5,0,0,6,258.35,1
3,Jahmyr Gibbs,RB,2,Detroit Lions,47.5,475.5,2.5,1050.5,10.5,0,0,6,248.35,1
4,Justin Jefferson,WR,2,Minnesota Vikings,92.5,1200.5,9.5,0,0,0,0,4,219.3,1
5,Saquon Barkley,RB,3,Philadelphia Eagles,27.5,275.5,1.5,1450.5,11.5,0,0,6,258.35,1
6,Ceedee Lamb,WR,3,Dallas Cowboys,97.5,1175.5,7.5,0,0,0,0,4,207.3,1
7,Malik Nabers,WR,4,New York Giants,92.5,1125.5,7.5,0,0,0,0,4,199.8,2
8,Puka Nacua,WR,5,Los Angeles Rams,92.5,1200.5,5.5,0,0.5,0,0,4,198.3,2
9,Christian McCaffrey,RB,4,San Francisco 49ers,55.5,499.5,3.5,950.5,7.5,0,0,6,232.75,2
10,Derrick Henry,RB,5,Baltimore Ravens,20,175,0.5,1350.5,13.5,0,0,6,240.55,2
11,Amon-Ra St. Brown,WR,6,Detroit Lions,97.5,1075.5,8.5,0,0,0,0,4,203.3,2
12,Nico Collins,WR,7,Houston Texans,77.5,1125.5,6.5,0,0,0,0,4,186.3,2
13,Brian Thomas Jr.,WR,8,Jacksonville Jaguars,77.5,1150.5,6.5,30.5,0,0,0,4,191.85,2
14,Drake London,WR,9,Atlanta Falcons,82.5,1075.5,7.5,0,0,0,0,4,189.8,2
15,De'Von Achane,RB,6,Miami Dolphins,65,475,4.5,925.5,7.5,0,0,6,238.55,2
16,Josh Jacobs,RB,7,Green Bay Packers,32.5,275.5,0.5,1050.5,9.5,0,0,6,202.85,2
17,Jonathan Taylor,RB,8,Indianapolis Colts,20.5,175.5,0.5,1225.5,9.5,0,0,6,204.35,2
18,Ashton Jeanty,RB,9,Las Vegas Raiders,35.5,225.5,1.5,1050.5,7.5,0,0,6,193.35,2
19,Bucky Irving,RB,10,Tampa Bay Buccaneers,42.5,349.5,1.5,1000.5,7.5,0,0,6,204.25,3
20,AJ Brown,WR,10,Philadelphia Eagles,72.5,1100.5,7.5,0,0,0,0,4,187.3,2
21,Kyren Williams,RB,11,Los Angeles Rams,27.5,150.5,1,1000.5,10.5,0,0,6,191.85,3
22,Brock Bowers,TE,1,Las Vegas Raiders,95.5,1000.5,5,0,0,0,0,4,173.8,1
23,Chase Brown,RB,12,Cincinnati Bengals,45.5,325.5,2,875.5,5.5,0,0,6,181.85,3
24,Ladd McConkey,WR,11,Los Angeles Chargers,77.5,1025.5,6.5,0,0,0,0,4,176.3,3
25,Omarion Hampton,RB,13,Los Angeles Chargers,30.5,175.5,1,850.5,6.5,0,0,6,156.85,3
26,Jaxon Smith-Njigba,WR,12,Seattle Seahawks,80.5,975.5,5.5,0,0,0,0,4,166.8,3
27,Trey McBride,TE,2,Arizona Cardinals,85.5,925.5,4.5,0,0,0,0,4,158.3,1
28,Josh Allen,QB,1,Buffalo Bills,0,0,0,475.5,10.5,3750.5,27.5,20,350.57,1
29,Tee Higgins,WR,13,Cincinnati Bengals,72.5,975.5,7.5,0,0,0,0,4,174.8,3
30,Mike Evans,WR,14,Tampa Bay Buccaneers,67.5,950.5,7.5,0,0,0,0,4,169.8,3
31,James Cook,RB,14,Buffalo Bills,25.5,200.5,1.5,950.5,8.5,0,0,6,181.85,4
32,Lamar Jackson,QB,2,Baltimore Ravens,0,0,0,750.5,3.5,3450.5,28.5,20,328.07,1
33,Jayden Daniels,QB,3,Washington Commanders,0,0,0,725.5,5.5,3400.5,23.5,20,315.57,1
34,Alvin Kamara,RB,15,New Orleans Saints,55.5,425.5,2.5,750.5,4.5,0,0,6,181.35,4
35,Kenneth Walker III,RB,16,Seattle Seahawks,37.5,325.5,0.5,875.5,6.5,0,0,6,174.85,4
36,George Kittle,TE,3,San Francisco 49ers,65.5,900.5,6.5,0,0,0,0,4,157.8,1
37,Jalen Hurts,QB,4,Philadelphia Eagles,0,0,0,600.5,12.5,3175.5,19.5,20,320.07,1
38,Marvin Harrison Jr.,WR,17,Arizona Cardinals,65.5,950.5,6.5,0,0,0,0,4,162.8,3
39,Davante Adams,WR,15,Los Angeles Rams,72.5,950.5,7.5,0,0,0,0,4,172.3,3
40,Tyreek Hill,WR,16,Miami Dolphins,80.5,975.5,7.5,30.5,0,0,0,4,181.85,3
41,Breece Hall,RB,17,New York Jets,40.5,350.5,1.5,875.5,5.5,0,0,6,178.85,4
42,James Conner,RB,18,Arizona Cardinals,30.5,250.5,1.5,900.5,7.5,0,0,6,178.35,4
43,Garrett Wilson,WR,19,New York Jets,77.5,925.5,4.5,0,0,0,0,4,154.3,4
44,Chuba Hubbard,RB,19,Carolina Panthers,25.5,150.5,0.5,950.5,6.5,0,0,6,158.85,4
45,DK Metcalf,WR,21,Pittsburgh Steelers,67.6,950.5,6.5,0,0,0,0,4,163.85,4
46,TreVeyon Henderson,RB,20,New England Patriots,27.5,250.5,1.5,700.5,4.5,0,0,6,138.85,5
47,RJ Harvey,RB,21,Denver Broncos,30.5,225.5,1,700.5,4.5,0,0,6,134.85,5
48,Tetairoa McMillan,WR,20,Carolina Panthers,60.5,800.5,4.5,0,0,0,0,4,133.3,4
49,Terry McLaurin,WR,18,Washington Commanders,72.5,1000.5,6.5,0,0,0,0,4,171.3,4
50,Xavier Worthy,WR,25,Kansas City Chiefs,65.5,875.5,6.5,65.5,1.5,0,0,4,170.85,4
51,Rome Odunze,WR,27,Chicago Bears,57.5,825.5,5.5,0,0,0,0,4,140.3,5
52,Devonta Smith,WR,22,Philadelphia Eagles,67.5,850.5,5.5,0,0,0,0,4,147.8,5
53,D'Andre Swift,RB,22,Chicago Bears,40.5,325.5,1,800.5,5.5,0,0,6,165.85,5
54,Jaylen Waddle,WR,23,Miami Dolphins,65.5,925.5,5,0,0,0,0,4,151.3,5
55,George Pickens,WR,28,Dallas Cowboys,57.5,875.5,5.5,0,0,0,0,4,145.3,5
56,DJ Moore,WR,24,Chicago Bears,75.5,975.5,6.5,30.5,0,0,0,4,173.35,5
57,Sam Laporta,TE,4,Detroit Lions,62.5,675.5,6.5,0,0,0,0,4,133.8,2
58,Courtland Sutton,WR,29,Denver Broncos,62.5,875.5,6.5,0,0,0,0,4,153.8,5
59,Travis Hunter,WR,34,Jacksonville Jaguars,59.5,750.5,4.5,0,0,0,0,4,127.8,5
60,Tony Pollard,RB,23,Tennessee Titans,32.5,200.5,0.5,875.5,5.5,0,0,6,153.85,5
61,David Montgomery,RB,24,Detroit Lions,25.5,225.5,0.5,725.5,8.5,0,0,6,155.85,5
62,Calvin Ridley,WR,30,Tennessee Titans,60.5,925.5,5.5,24.5,0,0,0,4,154.25,5
63,Jameson Williams,WR,31,Detroit Lions,52.5,875.5,5.5,35.5,0.5,0,0,4,149.35,5
64,Zay Flowers,WR,32,Baltimore Ravens,65.5,900.5,4.5,40.5,0,0,0,4,149.85,5
65,Aaron Jones Sr.,RB,25,Minnesota Vikings,42.5,299.5,0.5,725.5,3.5,0,0,6,141.75,5
66,Joe Burrow,QB,5,Cincinnati Bengals,0,0,0,149.5,2.5,4150.5,33.5,20,309.97,2
67,Ricky Pearsall,WR,33,San Francisco 49ers,55.5,875.5,4.5,0,0,0,0,4,138.3,6
68,Chris Olave,WR,26,New Orleans Saints,65.5,850.5,3.5,0,0,0,0,4,134.8,6
69,Travis Kelce,TE,5,Kansas City Chiefs,82.5,700.5,4.5,0,0,0,0,4,134.3,2
70,Jordan Addison,WR,35,Minnesota Vikings,55.5,625.5,7.5,0,0,0,0,4,131.3,6
71,Patrick Mahomes II,QB,6,Kansas City Chiefs,0,0,0,274.5,1.5,4000.5,27.5,20,286.47,2
72,Emeka Egbuka,WR,45,Tampa Bay Buccaneers,60.5,825.5,4.5,0,0,0,0,4,135.8,6
73,Kaleb Johnson,RB,26,Pittsburgh Steelers,15.5,100.5,0,750.5,5.5,0,0,6,119.85,6
74,Jauan Jennings,WR,36,San Francisco 49ers,60.5,875.5,4.5,0,0,0,0,4,140.8,6
75,Matthew Golden,WR,39,Green Bay Packers,65,700.5,4.5,0,0,0,0,4,125.55,6
76,Kyler Murray,QB,7,Arizona Cardinals,0,0,0,475.5,4.5,3375.5,20.5,20,271.57,2
77,TJ Hockenson,TE,6,Minnesota Vikings,65.5,700.5,3.5,0,0,0,0,4,119.8,2
78,David Njoku,TE,7,Cleveland Browns,60.5,650.5,5.5,0,0,0,0,4,124.3,3
79,Jerry Jeudy,WR,37,Cleveland Browns,70.5,900.5,3.5,0,0,0,0,4,142.3,6
80,Bo Nix,QB,8,Denver Broncos,0,0,0,425.5,4,3475.5,24.5,20,283.57,2
81,Rashee Rice,WR,38,Kansas City Chiefs,62.5,875.5,5.5,0,0,0,0,4,147.8,6
82,Isiah Pacheco,RB,27,Kansas City Chiefs,20.5,135.5,0.5,725.5,4.5,0,0,6,120.35,6
83,Quinshon Judkins,RB,28,Cleveland Browns,19.5,150.5,0.5,675.5,4.5,0,0,6,116.35,6
84,Caleb Williams,QB,9,Chicago Bears,0,0,0,425.5,2,3600.5,22.5,20,268.57,3
85,Baker Mayfield,QB,10,Tampa Bay Buccaneers,0,0,0,225.5,1.5,3800.5,28.5,20,277.57,3
86,Jayden Reed,WR,40,Green Bay Packers,49.5,675.5,4.5,75.5,0.5,0,0,4,125.85,6
87,Tyrone Tracy Jr.,RB,29,New York Giants,27.5,200.5,0.5,725.5,4,0,0,6,127.35,6
88,Stefon Diggs,WR,41,New England Patriots,63.5,750.5,4.5,0,0,0,0,4,129.8,6
89,Mark Andrews,TE,8,Baltimore Ravens,52.5,600.5,6,0,0,0,0,4,118.3,3
90,Jaylen Warren,RB,30,Pittsburgh Steelers,39.5,275.5,0.5,575.5,4.5,0,0,6,128.85,7
91,Deebo Samuel,WR,42,Washington Commanders,55.5,675.5,3.5,100.5,0.5,0,0,4,125.35,7
92,Jakobi Meyers,WR,43,Las Vegas Raiders,70.5,800.5,4.5,0,0,0,0,4,138.3,7
93,Justin Herbert,QB,11,Los Angeles Chargers,0,0,0,250.5,2.5,3650.5,22.5,20,256.07,3
94,JK Dobbins,RB,31,Denver Broncos,22.5,150.5,0.5,599.5,4.5,0,0,6,110.25,7
95,Travis Etienne,RB,32,Jacksonville Jaguars,32.5,225.5,0.5,500.5,3.5,0,0,6,106.85,7
96,Joe Mixon,RB,33,Houston Texans,0,0,0,0,0,0,0,0,0,7
97,Najee Harris,RB,34,Los Angeles Chargers,18.5,125.5,0.5,550.5,4.5,0,0,6,100.85,8
98,Chris Godwin,WR,44,Tampa Bay Buccaneers,62.5,725.5,6.5,0,0,0,0,4,138.8,7
99,Evan Engram,TE,9,Denver Broncos,60.5,575.5,3.5,0,0,0,0,4,104.8,3
100,Justin Fields,QB,12,New York Jets,0,0,0,650.5,6,2500.5,14.5,20,239.07,3
101,Dak Prescott,QB,13,Dallas Cowboys,0,0,0,125.5,1.5,3825.5,26.5,20,260.57,3
102,Tucker Kraft,TE,10,Green Bay Packers,47.5,625.5,3.5,0,0,0,0,4,103.3,4
103,Jordan Mason,RB,35,Minnesota Vikings,12.5,75.5,0.5,600.5,4,0,0,6,94.85,8
104,Drake Maye,QB,14,New England Patriots,0,0,0,475.5,4,3275.5,19.5,20,260.57,3
105,Brock Purdy,QB,15,San Francisco 49ers,0,0,0,175.5,2.5,3800.5,24,20,260.57,4
106,Brian Robinson Jr.,RB,36,Washington Commanders,19.5,125.5,0.5,710.5,6.5,0,0,6,129.35,8
107,Jordan Love,QB,16,Green Bay Packers,0,0,0,125.5,1.5,3550.5,25.5,20,245.57,4
108,Rachaad White,RB,37,Tampa Bay Buccaneers,30.5,225.5,1.5,425.5,2,0,0,6,95.35,8
109,Michael Pittman,WR,46,Indianapolis Colts,57.5,750.5,3.5,0,0,0,0,4,120.8,7
110,Josh Downs,WR,47,Indianapolis Colts,52.5,675.5,3.5,0,0,0,0,4,110.8,7
111,Khalil Shakir,WR,48,Buffalo Bills,57.5,775.5,4,0,0,0,0,4,126.3,7
112,Jake Ferguson,TE,11,Dallas Cowboys,57.5,550.5,3.5,0,0,0,0,4,100.8,4
113,CJ Stroud,QB,17,Houston Texans,0,0,0,175.5,1,3750.5,21.5,20,239.57,4
114,Cam Skattebo,RB,38,New York Giants,17.5,150.5,0.5,475.5,4.5,0,0,6,95.35,9
115,Darnell Mooney,WR,49,Atlanta Falcons,50.5,700.5,3.5,0,0,0,0,4,112.3,7
116,Tyler Warren,TE,12,Indianapolis Colts,50.5,525.5,4.5,0,0,0,0,4,100.8,4
117,Trevor Lawrence,QB,18,Jacksonville Jaguars,0,0,0,175.5,3.5,3650.5,22.5,20,254.57,4
118,Keon Coleman,WR,50,Buffalo Bills,42.5,750,4.5,0,0,0,0,4,119.25,8
119,Tank Bigsby,RB,39,Jacksonville Jaguars,5,50.5,0,550.5,4,0,0,6,80.6,9
120,Cooper Kupp,WR,51,Seattle Seahawks,62.5,675.5,5.5,0,0,0,0,4,127.8,8
121,Jared Goff,QB,19,Detroit Lions,0,0,0,49.5,0.5,3850.5,28.5,20,255.97,4
122,Colston Loveland,TE,13,Chicago Bears,45.5,575.5,4,0,0,0,0,4,100.3,5
123,Dalton Kincaid,TE,14,Buffalo Bills,50.5,575.5,3.5,0,0,0,0,4,99.8,5
124,Tyjae Spears,RB,40,Tennessee Titans,27.5,200.5,0.5,425.5,3,0,0,6,91.35,9
125,Jaylen Wright,RB,41,Miami Dolphins,10.5,75.5,0,500.5,2.5,0,0,6,71.85,9
